lat,lon,date,nearest_station,temperature,humidity,wind_speed,feels_like,temp_min,temp_max,pressure,wind_deg,wind_gust,clouds_pct,visibility_m,rain_1h_mm,rain_3h_mm,snow_1h_mm,snow_3h_mm,weather_main,weather_description,timestamp_utc
41.0,-141.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-140.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-140.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-139.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-139.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-138.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-138.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-137.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-137.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-136.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-136.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-135.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-135.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-134.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-134.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-133.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-133.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-132.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-132.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-131.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-131.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-130.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-130.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-129.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-129.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-128.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-128.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-127.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-127.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-126.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-126.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-125.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-125.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-124.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-124.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-123.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-123.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-122.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-122.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-121.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-121.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-120.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-120.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-119.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-119.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-118.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-118.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-117.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-117.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-116.5,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-116.0,2025-08-13 08:21:53,Victoria,16.15,83,16.98,15.99,14.08,17.66,1011,280,,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093771
41.0,-115.5,2025-08-13 08:21:53,Kelowna,21.2,59,1.3,20.92,21.2,21.97,1007,236,2.26,63,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093578
41.0,-115.0,2025-08-13 08:21:53,Kelowna,21.2,59,1.3,20.92,21.2,21.97,1007,236,2.26,63,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093578
41.0,-114.5,2025-08-13 08:21:53,Kelowna,21.2,59,1.3,20.92,21.2,21.97,1007,236,2.26,63,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093578
41.0,-114.0,2025-08-13 08:21:53,Kelowna,21.2,59,1.3,20.92,21.2,21.97,1007,236,2.26,63,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093578
41.0,-113.5,2025-08-13 08:21:53,Kelowna,21.2,59,1.3,20.92,21.2,21.97,1007,236,2.26,63,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093578
41.0,-113.0,2025-08-13 08:21:53,Kelowna,21.2,59,1.3,20.92,21.2,21.97,1007,236,2.26,63,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093578
41.0,-112.5,2025-08-13 08:21:53,Calgary,15.14,84,1.08,14.9,13.36,15.82,1004,3,1.11,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093768
41.0,-112.0,2025-08-13 08:21:53,Calgary,15.14,84,1.08,14.9,13.36,15.82,1004,3,1.11,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093768
41.0,-111.5,2025-08-13 08:21:53,Calgary,15.14,84,1.08,14.9,13.36,15.82,1004,3,1.11,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093768
41.0,-111.0,2025-08-13 08:21:53,Calgary,15.14,84,1.08,14.9,13.36,15.82,1004,3,1.11,0,10000,0.0,0.0,0.0,0.0,Clear,clear sky,1755093768
41.0,-110.5,2025-08-13 08:21:53,Regina,14.7,84,5.66,14.42,13.99,14.99,1012,130,8.75,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093773
41.0,-110.0,2025-08-13 08:21:53,Regina,14.7,84,5.66,14.42,13.99,14.99,1012,130,8.75,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093773
41.0,-109.5,2025-08-13 08:21:53,Regina,14.7,84,5.66,14.42,13.99,14.99,1012,130,8.75,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093773
41.0,-109.0,2025-08-13 08:21:53,Regina,14.7,84,5.66,14.42,13.99,14.99,1012,130,8.75,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093773
41.0,-108.5,2025-08-13 08:21:53,Regina,14.7,84,5.66,14.42,13.99,14.99,1012,130,8.75,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093773
41.0,-108.0,2025-08-13 08:21:53,Regina,14.7,84,5.66,14.42,13.99,14.99,1012,130,8.75,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093773
41.0,-107.5,2025-08-13 08:21:53,Regina,14.7,84,5.66,14.42,13.99,14.99,1012,130,8.75,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093773
41.0,-107.0,2025-08-13 08:21:53,Regina,14.7,84,5.66,14.42,13.99,14.99,1012,130,8.75,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093773
41.0,-106.5,2025-08-13 08:21:53,Regina,14.7,84,5.66,14.42,13.99,14.99,1012,130,8.75,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093773
41.0,-106.0,2025-08-13 08:21:53,Regina,14.7,84,5.66,14.42,13.99,14.99,1012,130,8.75,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093773
41.0,-105.5,2025-08-13 08:21:53,Regina,14.7,84,5.66,14.42,13.99,14.99,1012,130,8.75,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093773
41.0,-105.0,2025-08-13 08:21:53,Regina,14.7,84,5.66,14.42,13.99,14.99,1012,130,8.75,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093773
41.0,-104.5,2025-08-13 08:21:53,Regina,14.7,84,5.66,14.42,13.99,14.99,1012,130,8.75,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093773
41.0,-104.0,2025-08-13 08:21:53,Regina,14.7,84,5.66,14.42,13.99,14.99,1012,130,8.75,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093773
41.0,-103.5,2025-08-13 08:21:53,Regina,14.7,84,5.66,14.42,13.99,14.99,1012,130,8.75,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093773
41.0,-103.0,2025-08-13 08:21:53,Regina,14.7,84,5.66,14.42,13.99,14.99,1012,130,8.75,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093773
41.0,-102.5,2025-08-13 08:21:53,Regina,14.7,84,5.66,14.42,13.99,14.99,1012,130,8.75,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093773
41.0,-102.0,2025-08-13 08:21:53,Winnipeg,13.86,86,0.45,13.55,12.8,16.1,1017,208,0.45,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093769
41.0,-101.5,2025-08-13 08:21:53,Winnipeg,13.86,86,0.45,13.55,12.8,16.1,1017,208,0.45,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093769
41.0,-101.0,2025-08-13 08:21:53,Winnipeg,13.86,86,0.45,13.55,12.8,16.1,1017,208,0.45,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093769
41.0,-100.5,2025-08-13 08:21:53,Winnipeg,13.86,86,0.45,13.55,12.8,16.1,1017,208,0.45,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093769
41.0,-100.0,2025-08-13 08:21:53,Winnipeg,13.86,86,0.45,13.55,12.8,16.1,1017,208,0.45,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093769
41.0,-99.5,2025-08-13 08:21:53,Winnipeg,13.86,86,0.45,13.55,12.8,16.1,1017,208,0.45,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093769
41.0,-99.0,2025-08-13 08:21:53,Winnipeg,13.86,86,0.45,13.55,12.8,16.1,1017,208,0.45,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093769
41.0,-98.5,2025-08-13 08:21:53,Winnipeg,13.86,86,0.45,13.55,12.8,16.1,1017,208,0.45,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093769
41.0,-98.0,2025-08-13 08:21:53,Winnipeg,13.86,86,0.45,13.55,12.8,16.1,1017,208,0.45,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093769
41.0,-97.5,2025-08-13 08:21:53,Winnipeg,13.86,86,0.45,13.55,12.8,16.1,1017,208,0.45,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093769
41.0,-97.0,2025-08-13 08:21:53,Winnipeg,13.86,86,0.45,13.55,12.8,16.1,1017,208,0.45,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093769
41.0,-96.5,2025-08-13 08:21:53,Winnipeg,13.86,86,0.45,13.55,12.8,16.1,1017,208,0.45,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093769
41.0,-96.0,2025-08-13 08:21:53,Thunder Bay,17.04,82,2.57,16.94,17.01,17.04,1015,300,,75,10000,0.0,0.0,0.0,0.0,Haze,haze,1755093468
41.0,-95.5,2025-08-13 08:21:53,Thunder Bay,17.04,82,2.57,16.94,17.01,17.04,1015,300,,75,10000,0.0,0.0,0.0,0.0,Haze,haze,1755093468
41.0,-95.0,2025-08-13 08:21:53,Thunder Bay,17.04,82,2.57,16.94,17.01,17.04,1015,300,,75,10000,0.0,0.0,0.0,0.0,Haze,haze,1755093468
41.0,-94.5,2025-08-13 08:21:53,Thunder Bay,17.04,82,2.57,16.94,17.01,17.04,1015,300,,75,10000,0.0,0.0,0.0,0.0,Haze,haze,1755093468
41.0,-94.0,2025-08-13 08:21:53,Thunder Bay,17.04,82,2.57,16.94,17.01,17.04,1015,300,,75,10000,0.0,0.0,0.0,0.0,Haze,haze,1755093468
41.0,-93.5,2025-08-13 08:21:53,Thunder Bay,17.04,82,2.57,16.94,17.01,17.04,1015,300,,75,10000,0.0,0.0,0.0,0.0,Haze,haze,1755093468
41.0,-93.0,2025-08-13 08:21:53,Thunder Bay,17.04,82,2.57,16.94,17.01,17.04,1015,300,,75,10000,0.0,0.0,0.0,0.0,Haze,haze,1755093468
41.0,-92.5,2025-08-13 08:21:53,Thunder Bay,17.04,82,2.57,16.94,17.01,17.04,1015,300,,75,10000,0.0,0.0,0.0,0.0,Haze,haze,1755093468
41.0,-92.0,2025-08-13 08:21:53,Thunder Bay,17.04,82,2.57,16.94,17.01,17.04,1015,300,,75,10000,0.0,0.0,0.0,0.0,Haze,haze,1755093468
41.0,-91.5,2025-08-13 08:21:53,Thunder Bay,17.04,82,2.57,16.94,17.01,17.04,1015,300,,75,10000,0.0,0.0,0.0,0.0,Haze,haze,1755093468
41.0,-91.0,2025-08-13 08:21:53,Thunder Bay,17.04,82,2.57,16.94,17.01,17.04,1015,300,,75,10000,0.0,0.0,0.0,0.0,Haze,haze,1755093468
41.0,-90.5,2025-08-13 08:21:53,Thunder Bay,17.04,82,2.57,16.94,17.01,17.04,1015,300,,75,10000,0.0,0.0,0.0,0.0,Haze,haze,1755093468
41.0,-90.0,2025-08-13 08:21:53,Thunder Bay,17.04,82,2.57,16.94,17.01,17.04,1015,300,,75,10000,0.0,0.0,0.0,0.0,Haze,haze,1755093468
41.0,-89.5,2025-08-13 08:21:53,Thunder Bay,17.04,82,2.57,16.94,17.01,17.04,1015,300,,75,10000,0.0,0.0,0.0,0.0,Haze,haze,1755093468
41.0,-89.0,2025-08-13 08:21:53,Thunder Bay,17.04,82,2.57,16.94,17.01,17.04,1015,300,,75,10000,0.0,0.0,0.0,0.0,Haze,haze,1755093468
41.0,-88.5,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-88.0,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-87.5,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-87.0,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-86.5,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-86.0,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-85.5,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-85.0,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-84.5,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-84.0,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-83.5,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-83.0,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-82.5,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-82.0,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-81.5,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-81.0,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-80.5,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-80.0,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-79.5,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-79.0,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-78.5,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-78.0,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-77.5,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-77.0,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-76.5,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-76.0,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-75.5,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-75.0,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-74.5,2025-08-13 08:21:53,Toronto,23.51,86,3.09,24.16,22.34,24.13,1011,270,,20,10000,0.0,0.0,0.0,0.0,Clouds,few clouds,1755093384
41.0,-74.0,2025-08-13 08:21:53,Montreal,27.9,58,3.09,29.09,27.01,28.16,1010,190,,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093739
41.0,-73.5,2025-08-13 08:21:53,Montreal,27.9,58,3.09,29.09,27.01,28.16,1010,190,,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093739
41.0,-73.0,2025-08-13 08:21:53,Montreal,27.9,58,3.09,29.09,27.01,28.16,1010,190,,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093739
41.0,-72.5,2025-08-13 08:21:53,Montreal,27.9,58,3.09,29.09,27.01,28.16,1010,190,,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093739
41.0,-72.0,2025-08-13 08:21:53,Montreal,27.9,58,3.09,29.09,27.01,28.16,1010,190,,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093739
41.0,-71.5,2025-08-13 08:21:53,Montreal,27.9,58,3.09,29.09,27.01,28.16,1010,190,,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093739
41.0,-71.0,2025-08-13 08:21:53,Montreal,27.9,58,3.09,29.09,27.01,28.16,1010,190,,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093739
41.0,-70.5,2025-08-13 08:21:53,Montreal,27.9,58,3.09,29.09,27.01,28.16,1010,190,,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093739
41.0,-70.0,2025-08-13 08:21:53,Montreal,27.9,58,3.09,29.09,27.01,28.16,1010,190,,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093739
41.0,-69.5,2025-08-13 08:21:53,Montreal,27.9,58,3.09,29.09,27.01,28.16,1010,190,,75,10000,0.0,0.0,0.0,0.0,Clouds,broken clouds,1755093739
41.0,-69.0,2025-08-13 08:21:53,Halifax,22.18,92,3.09,22.86,20.68,23.03,1014,110,,100,2414,0.0,0.0,0.0,0.0,Mist,mist,1755093771
41.0,-68.5,2025-08-13 08:21:53,Halifax,22.18,92,3.09,22.86,20.68,23.03,1014,110,,100,2414,0.0,0.0,0.0,0.0,Mist,mist,1755093771
41.0,-68.0,2025-08-13 08:21:53,Halifax,22.18,92,3.09,22.86,20.68,23.03,1014,110,,100,2414,0.0,0.0,0.0,0.0,Mist,mist,1755093771
41.0,-67.5,2025-08-13 08:21:53,Halifax,22.18,92,3.09,22.86,20.68,23.03,1014,110,,100,2414,0.0,0.0,0.0,0.0,Mist,mist,1755093771
41.0,-67.0,2025-08-13 08:21:53,Halifax,22.18,92,3.09,22.86,20.68,23.03,1014,110,,100,2414,0.0,0.0,0.0,0.0,Mist,mist,1755093771
41.0,-66.5,2025-08-13 08:21:53,Halifax,22.18,92,3.09,22.86,20.68,23.03,1014,110,,100,2414,0.0,0.0,0.0,0.0,Mist,mist,1755093771
41.0,-66.0,2025-08-13 08:21:53,Halifax,22.18,92,3.09,22.86,20.68,23.03,1014,110,,100,2414,0.0,0.0,0.0,0.0,Mist,mist,1755093771
